                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                 1.3176,                 2.2443,                 2.1792,                 0.3114,                0.56967,                0.37261,                0.23938,                  1.236,                 2.5487,                 2.2128,              0.0007081,              0.0007081,              0.0007081
                     83,                 1.1592,                 2.2458,                 2.0607,                 0.3114,                0.56967,                0.37261,                0.23938,                  1.236,                 2.5487,                 2.2128,             0.00070733,             0.00070733,             0.00070733
                     84,                  1.147,                 2.2419,                 2.0579,                0.30651,                0.69228,                0.40613,                0.27685,                  1.178,                 2.5394,                 2.0499,             0.00070657,             0.00070657,             0.00070657
                     85,                 1.2999,                 2.2471,                 2.1736,                0.30651,                0.69228,                0.40613,                0.27685,                  1.178,                 2.5394,                 2.0499,             0.00070581,             0.00070581,             0.00070581
                     86,                 1.2078,                 2.2427,                 2.0843,                0.31908,                0.67768,                0.43254,                0.31636,                 1.0846,                 2.3506,                 1.9463,             0.00070505,             0.00070505,             0.00070505
                     87,                 1.0969,                 2.1386,                 1.9842,                0.31908,                0.67768,                0.43254,                0.31636,                 1.0846,                 2.3506,                 1.9463,             0.00070429,             0.00070429,             0.00070429
                     88,                 1.1146,                 2.1962,                 2.0146,                0.39576,                  0.615,                0.44589,                0.31326,                 1.1122,                 2.2582,                 1.9676,             0.00070353,             0.00070353,             0.00070353
                     89,                 1.2578,                 2.1205,                 2.0801,                0.39576,                  0.615,                0.44589,                0.31326,                 1.1122,                 2.2582,                 1.9676,             0.00070277,             0.00070277,             0.00070277
                     90,                 1.3393,                 2.1647,                 2.1013,                0.41893,                0.45164,                0.44543,                0.31345,                 1.1162,                 2.3334,                 2.0097,               0.000702,               0.000702,               0.000702
                     91,                 1.1953,                 2.1507,                 2.0068,                0.41893,                0.45164,                0.44543,                0.31345,                 1.1162,                 2.3334,                 2.0097,             0.00070124,             0.00070124,             0.00070124
                     92,                 1.1695,                 2.1414,                 2.0176,                0.44193,                0.40904,                0.45049,                0.30302,                 1.1899,                 2.3785,                 2.0682,             0.00070048,             0.00070048,             0.00070048
                     93,                 1.0531,                 2.1786,                 1.9288,                0.44193,                0.40904,                0.45049,                0.30302,                 1.1899,                 2.3785,                 2.0682,             0.00069972,             0.00069972,             0.00069972
                     94,                 1.1169,                 2.2085,                 1.9782,                 0.4185,                0.50179,                0.46889,                0.31973,                  1.174,                 2.5794,                 2.1213,             0.00069896,             0.00069896,             0.00069896
                     95,                 1.1841,                 2.0861,                 1.9949,                 0.4185,                0.50179,                0.46889,                0.31973,                  1.174,                 2.5794,                 2.1213,              0.0006982,              0.0006982,              0.0006982
